manual_rank,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,manual_bucket,risk_level,recommended_next_step,url,domain,canonical_name,pricing,lang,classification,candidate_import_recommendation,occurrence_count,registry_target_ids,registry_submit_urls,source_files,source_locations,latest_batch_id,evidence_file,suggestion_file,http_status,fetch_ok,final_url,form_count,input_count,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,safety_gate_reason,safety_gate_batch_id,safety_gate_report,checked_at
1,P0,337,75,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,fetch_failed_cannot_decide,high_priority_manual,Confirm this URL is a distinct valid submit URL from existing registry URLs; reject duplicate or invalid paths.,https://aiscout.net/submit,aiscout.net,aiscout.net,unknown,unknown,domain_in_registry_only,review_submit_url,2,ai-scout; ai-scout-aiscout-net-submit-listing-details,https://aiscout.net/; https://aiscout.net/submit-listing/details,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 20:url; directory-submissions-external-links.md:22,p0-recheck-001,p0-recheck-001-evidence.csv,p0-recheck-001-suggestions.csv,520,no,https://aiscout.net/submit,0,0,yes,no,no,no,no,no,no,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 520; evidence: URL path looks like a submission endpoint; HTTP 520; same-domain variant must not use generic approved,,,,2026-05-22T09:46:36.643Z
2,P0,337,79,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,fetch_failed_cannot_decide,high_priority_manual,Confirm this URL is a distinct valid submit URL from existing registry URLs; reject duplicate or invalid paths.,https://aitoolsdirectory.com/submit,aitoolsdirectory.com,aitoolsdirectory.com,unknown,unknown,domain_in_registry_only,review_submit_url,2,aitoolsdirectory,https://aitoolsdirectory.com/submit-tool,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 25:url; directory-submissions-external-links.md:27,p0-recheck-001,p0-recheck-001-evidence.csv,p0-recheck-001-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed; same-domain variant must not use generic approved,,,,2026-05-22T09:46:51.838Z
3,P0,337,208,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Confirm this URL is a distinct valid submit URL from existing registry URLs; reject duplicate or invalid paths.,https://devhunt.org/submit,devhunt.org,devhunt.org,unknown,unknown,domain_in_registry_only,review_submit_url,2,dev-hunt; dev-hunt-devhunt-org-account-tools-new,https://devhunt.org/; https://devhunt.org/account/tools/new,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 49:url; directory-submissions-external-links.md:51,p0-recheck-001,p0-recheck-001-evidence.csv,p0-recheck-001-suggestions.csv,200,yes,https://devhunt.org/submit,0,0,yes,no,no,no,yes,no,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; URL path looks like a submission endpoint; same-domain variant must not use generic approved,,,,2026-05-22T09:47:02.352Z
4,P0,287,472,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Confirm this URL is a distinct valid submit URL from existing registry URLs; reject duplicate or invalid paths.,https://www.sideprojectors.com/project/new,sideprojectors.com,sideprojectors.com,unknown,unknown,domain_in_registry_only,review_submit_url,2,sideprojectors,https://www.sideprojectors.com/,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 239:url; directory-submissions-external-links.md:241,p0-recheck-001,p0-recheck-001-evidence.csv,p0-recheck-001-suggestions.csv,200,yes,https://www.sideprojectors.com/project/new,0,0,no,yes,no,no,yes,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved,,,,2026-05-22T09:47:03.340Z
5,P0,287,497,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,fetch_failed_cannot_decide,high_priority_manual,Confirm this URL is a distinct valid submit URL from existing registry URLs; reject duplicate or invalid paths.,https://stackshare.io/new-product,stackshare.io,stackshare.io,unknown,unknown,domain_in_registry_only,review_submit_url,2,stackshare,https://stackshare.io/submit,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 115:url; directory-submissions-external-links.md:117,p0-recheck-001,p0-recheck-001-evidence.csv,p0-recheck-001-suggestions.csv,429,no,https://stackshare.io/new-product,0,0,no,yes,no,no,no,no,no,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 429; evidence: directory/listing marketplace text signal found; HTTP 429; same-domain variant must not use generic approved,,,,2026-05-22T09:47:04.490Z
6,P0,187,63,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://ai.xyz/submit,ai.xyz,ai.xyz,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 7:url; directory-submissions-external-links.md:9,p0-recheck-001,p0-recheck-001-evidence.csv,p0-recheck-001-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-22T09:47:05.098Z
7,P0,187,64,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://aiagents.live/submit,aiagents.live,aiagents.live,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 8:url; directory-submissions-external-links.md:10,p0-recheck-001,p0-recheck-001-evidence.csv,p0-recheck-001-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-22T09:47:12.801Z
8,P0,187,65,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://aiagentsbase.com/submit,aiagentsbase.com,aiagentsbase.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 9:url; directory-submissions-external-links.md:11,p0-recheck-001,p0-recheck-001-evidence.csv,p0-recheck-001-suggestions.csv,200,yes,https://aiagentsbase.com/submit,3,18,yes,yes,no,no,yes,no,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 3 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found",,,,2026-05-22T09:47:18.526Z
9,P0,187,68,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,manual_submit_form_confirmation_required,high_priority_manual,Open manually and record approve/reject decision with notes; approval must remain non-executable needs_scout until scout evidence exists.,https://aiagentsmarketplace.com/submit,aiagentsmarketplace.com,aiagentsmarketplace.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 12:url; directory-submissions-external-links.md:14,p0-recheck-001,p0-recheck-001-evidence.csv,p0-recheck-001-suggestions.csv,200,yes,https://aiagentsmarketplace.com/submit,0,0,yes,yes,no,no,no,no,no,review_manually,needs_manual_check,low,,manual_confirm_submit_form_and_blockers,submit URL/button signal found but evidence is incomplete; evidence: URL path looks like a submission endpoint; directory/listing marketplace text signal found,,,,2026-05-22T09:47:29.833Z
10,P0,187,72,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://aimatchpro.ai/submit,aimatchpro.ai,aimatchpro.ai,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 16:url; directory-submissions-external-links.md:18,p0-recheck-001,p0-recheck-001-evidence.csv,p0-recheck-001-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-22T09:47:31.003Z
