batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p0-007,24,P0,176,204,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,custom.example,unknown,unknown,missing_domain,review_submit_url,https://custom.example/submit,custom.example,1,repo-external-links.csv,repo-external-links.csv:row 131:url,,
p0-007,25,P0,176,206,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,d.example,unknown,unknown,missing_domain,review_submit_url,https://d.example/submit,d.example,1,repo-external-links.csv,repo-external-links.csv:row 132:url,,
p0-007,26,P0,176,221,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,e.example,unknown,unknown,missing_domain,review_submit_url,https://e.example/submit,e.example,1,repo-external-links.csv,repo-external-links.csv:row 144:url,,
p0-007,27,P0,176,236,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,example.com,unknown,unknown,missing_domain,review_submit_url,https://example.com/submit,example.com,1,repo-external-links.csv,repo-external-links.csv:row 151:url,,
p0-007,28,P0,176,385,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,new-site.com,unknown,unknown,missing_domain,review_submit_url,https://new-site.com/submit,new-site.com,1,repo-external-links.csv,repo-external-links.csv:row 233:url,,
p0-007,29,P0,176,475,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,site.com,unknown,unknown,missing_domain,review_submit_url,https://site.com/submit,site.com,1,repo-external-links.csv,repo-external-links.csv:row 272:url,,
p0-007,30,P0,176,481,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,sixwordstories.net,unknown,unknown,missing_domain,review_submit_url,http://www.sixwordstories.net/2009/07/submit-a-story/comment-page-188,sixwordstories.net,1,repo-external-links.csv,repo-external-links.csv:row 21:url,,
p0-007,31,P0,176,489,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,some-directory.com,unknown,unknown,missing_domain,review_submit_url,https://some-directory.com/submit,some-directory.com,1,repo-external-links.csv,repo-external-links.csv:row 280:url,,
p0-007,32,P0,137,176,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,capterra.com,unknown,unknown,missing_domain,review_submit_url,https://www.capterra.com/vendors,capterra.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 166:url; directory-submissions-external-links.md:168,,
p0-007,33,P0,137,200,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,crozdesk.com,unknown,unknown,missing_domain,review_submit_url,https://crozdesk.com/vendors,crozdesk.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 47:url; directory-submissions-external-links.md:49,,
p0-007,34,P0,137,273,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,getapp.com,unknown,unknown,missing_domain,review_submit_url,https://www.getapp.com/vendors,getapp.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 188:url; directory-submissions-external-links.md:190,,
p0-007,35,P0,137,488,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,softwareadvice.com,unknown,unknown,missing_domain,review_submit_url,https://www.softwareadvice.com/vendors,softwareadvice.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 244:url; directory-submissions-external-links.md:246,,
p0-007,36,P0,137,541,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,trustradius.com,unknown,unknown,missing_domain,review_submit_url,https://www.trustradius.com/vendors,trustradius.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 256:url; directory-submissions-external-links.md:258,,
